oocihm.14348 SIP:14 , Revision:14 , Unique:0 , Duplicate:14
oocihm.14539 SIP:151 , Revision:151 , Unique:0 , Duplicate:151
oocihm.14554 SIP:34 , Revision:34 , Unique:0 , Duplicate:34
oocihm.14563 SIP:732 , Revision:732 , Unique:0 , Duplicate:732
oocihm.14811 SIP:46 , Revision:46 , Unique:0 , Duplicate:46
oocihm.15097 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.15438 SIP:446 , Revision:462 , Unique:462 , Duplicate:0
oocihm.15589 SIP:54 , Revision:54 , Unique:0 , Duplicate:54
oocihm.15976 SIP:31 , Revision:31 , Unique:0 , Duplicate:31
oocihm.16191 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.16278 SIP:31 , Revision:31 , Unique:0 , Duplicate:31
oocihm.16747 SIP:12 , Revision:12 , Unique:0 , Duplicate:12
oocihm.17172 SIP:12 , Revision:8 , Unique:8 , Duplicate:0
oocihm.17749 SIP:21 , Revision:21 , Unique:0 , Duplicate:21
oocihm.17839 SIP:9 , Revision:13 , Unique:13 , Duplicate:0
oocihm.18268 SIP:82 , Revision:82 , Unique:0 , Duplicate:82
oocihm.18283 SIP:12 , Revision:12 , Unique:0 , Duplicate:12
oocihm.18595 SIP:308 , Revision:308 , Unique:0 , Duplicate:308
oocihm.18639 SIP:122 , Revision:122 , Unique:0 , Duplicate:122
oocihm.18858 SIP:22 , Revision:22 , Unique:0 , Duplicate:22
oocihm.20080 SIP:12 , Revision:12 , Unique:0 , Duplicate:12
oocihm.20150 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.20416 SIP:83 , Revision:83 , Unique:0 , Duplicate:83
oocihm.20729 SIP:60 , Revision:60 , Unique:0 , Duplicate:60
oocihm.20776 SIP:96 , Revision:96 , Unique:0 , Duplicate:96
oocihm.20777 SIP:26 , Revision:26 , Unique:0 , Duplicate:26
oocihm.20778 SIP:14 , Revision:14 , Unique:0 , Duplicate:14
oocihm.20853 SIP:175 , Revision:175 , Unique:0 , Duplicate:175
oocihm.20920 SIP:56 , Revision:56 , Unique:0 , Duplicate:56
oocihm.20990 SIP:42 , Revision:42 , Unique:0 , Duplicate:42
oocihm.20992 SIP:68 , Revision:68 , Unique:0 , Duplicate:68
oocihm.21010 SIP:100 , Revision:100 , Unique:0 , Duplicate:100
oocihm.21011 SIP:137 , Revision:137 , Unique:0 , Duplicate:137
oocihm.21023 SIP:137 , Revision:137 , Unique:1 , Duplicate:136
oocihm.21102 SIP:206 , Revision:206 , Unique:0 , Duplicate:206
oocihm.21103 SIP:50 , Revision:50 , Unique:0 , Duplicate:50
oocihm.21171 SIP:244 , Revision:244 , Unique:0 , Duplicate:244
oocihm.21172 SIP:65 , Revision:65 , Unique:0 , Duplicate:65
oocihm.21173 SIP:10 , Revision:10 , Unique:0 , Duplicate:10
oocihm.21243 SIP:98 , Revision:98 , Unique:0 , Duplicate:98
oocihm.21307 SIP:15 , Revision:15 , Unique:0 , Duplicate:15
oocihm.21333 SIP:146 , Revision:146 , Unique:0 , Duplicate:146
oocihm.21371 SIP:72 , Revision:72 , Unique:0 , Duplicate:72
oocihm.21432 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.21440 SIP:68 , Revision:68 , Unique:0 , Duplicate:68
oocihm.21465 SIP:60 , Revision:60 , Unique:0 , Duplicate:60
oocihm.21503 SIP:114 , Revision:114 , Unique:0 , Duplicate:114
oocihm.21504 SIP:92 , Revision:92 , Unique:0 , Duplicate:92
oocihm.21509 SIP:80 , Revision:80 , Unique:0 , Duplicate:80
oocihm.21532 SIP:18 , Revision:18 , Unique:0 , Duplicate:18
oocihm.21568 SIP:24 , Revision:24 , Unique:0 , Duplicate:24
oocihm.21572 SIP:274 , Revision:274 , Unique:0 , Duplicate:274
oocihm.21605 SIP:18 , Revision:18 , Unique:0 , Duplicate:18
oocihm.21656 SIP:172 , Revision:172 , Unique:0 , Duplicate:172
oocihm.21720 SIP:22 , Revision:22 , Unique:0 , Duplicate:22
oocihm.21743 SIP:8 , Revision:8 , Unique:0 , Duplicate:8
oocihm.21779 SIP:162 , Revision:162 , Unique:0 , Duplicate:162
oocihm.21797 SIP:32 , Revision:32 , Unique:0 , Duplicate:32
oocihm.21885 SIP:11 , Revision:11 , Unique:0 , Duplicate:11
oocihm.22000 SIP:102 , Revision:102 , Unique:0 , Duplicate:102
oocihm.22011 SIP:34 , Revision:34 , Unique:0 , Duplicate:34
oocihm.22030 SIP:31 , Revision:31 , Unique:0 , Duplicate:31
oocihm.22059 SIP:207 , Revision:207 , Unique:0 , Duplicate:207
oocihm.22142 SIP:88 , Revision:88 , Unique:0 , Duplicate:88
oocihm.22197 SIP:26 , Revision:26 , Unique:0 , Duplicate:26
oocihm.22384 SIP:88 , Revision:88 , Unique:0 , Duplicate:88
oocihm.22608 SIP:22 , Revision:22 , Unique:0 , Duplicate:22
oocihm.22667 SIP:115 , Revision:115 , Unique:0 , Duplicate:115
oocihm.22673 SIP:23 , Revision:23 , Unique:0 , Duplicate:23
oocihm.22864 SIP:28 , Revision:28 , Unique:0 , Duplicate:28
oocihm.22925 SIP:34 , Revision:34 , Unique:0 , Duplicate:34
oocihm.22992 SIP:36 , Revision:36 , Unique:0 , Duplicate:36
oocihm.23065 SIP:64 , Revision:64 , Unique:0 , Duplicate:64
oocihm.23068 SIP:64 , Revision:64 , Unique:0 , Duplicate:64
oocihm.23230 SIP:68 , Revision:68 , Unique:0 , Duplicate:68
oocihm.23232 SIP:19 , Revision:19 , Unique:0 , Duplicate:19
oocihm.23376 SIP:76 , Revision:76 , Unique:0 , Duplicate:76
oocihm.23379 SIP:80 , Revision:80 , Unique:0 , Duplicate:80
oocihm.23399 SIP:60 , Revision:60 , Unique:0 , Duplicate:60
oocihm.23505 SIP:130 , Revision:130 , Unique:0 , Duplicate:130
oocihm.24138 SIP:38 , Revision:38 , Unique:0 , Duplicate:38
oocihm.24341 SIP:186 , Revision:186 , Unique:0 , Duplicate:186
oocihm.24413 SIP:132 , Revision:132 , Unique:1 , Duplicate:131
oocihm.24795 SIP:108 , Revision:108 , Unique:1 , Duplicate:107
oocihm.24854 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.25259 SIP:262 , Revision:262 , Unique:0 , Duplicate:262
oocihm.25854 SIP:18 , Revision:18 , Unique:0 , Duplicate:18
oocihm.26223 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.27180 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.27387 SIP:8 , Revision:8 , Unique:0 , Duplicate:8
oocihm.27571 SIP:217 , Revision:217 , Unique:0 , Duplicate:217
oocihm.27758 SIP:70 , Revision:70 , Unique:0 , Duplicate:70
oocihm.27867 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.28466 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.28467 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.28567 SIP:80 , Revision:80 , Unique:0 , Duplicate:80
oocihm.28653 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.28678 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.28876 SIP:558 , Revision:186 , Unique:0 , Duplicate:186
oocihm.29024 SIP:771 , Revision:257 , Unique:0 , Duplicate:257
oocihm.29033 SIP:1734 , Revision:578 , Unique:0 , Duplicate:578
oocihm.29128 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.29566 SIP:26 , Revision:26 , Unique:0 , Duplicate:26
oocihm.29736 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.29848 SIP:97 , Revision:97 , Unique:0 , Duplicate:97
oocihm.29849 SIP:116 , Revision:116 , Unique:0 , Duplicate:116
oocihm.29850 SIP:120 , Revision:120 , Unique:0 , Duplicate:120
oocihm.29851 SIP:100 , Revision:100 , Unique:0 , Duplicate:100
oocihm.29965 SIP:87 , Revision:87 , Unique:0 , Duplicate:87
oocihm.30008 SIP:106 , Revision:113 , Unique:113 , Duplicate:0
oocihm.30081 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.30114 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.30198 SIP:54 , Revision:54 , Unique:0 , Duplicate:54
oocihm.30212 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.30386 SIP:266 , Revision:290 , Unique:290 , Duplicate:0
oocihm.30472 SIP:214 , Revision:214 , Unique:0 , Duplicate:214
oocihm.30615 SIP:16 , Revision:16 , Unique:15 , Duplicate:1
oocihm.30662 SIP:18 , Revision:18 , Unique:17 , Duplicate:1
oocihm.32777 SIP:314 , Revision:314 , Unique:1 , Duplicate:313
oocihm.32778 SIP:322 , Revision:322 , Unique:1 , Duplicate:321
oocihm.33003 SIP:256 , Revision:256 , Unique:0 , Duplicate:256
oocihm.33240 SIP:96 , Revision:96 , Unique:1 , Duplicate:95
oocihm.33321 SIP:195 , Revision:195 , Unique:0 , Duplicate:195
oocihm.33322 SIP:83 , Revision:83 , Unique:0 , Duplicate:83
oocihm.33323 SIP:32 , Revision:32 , Unique:0 , Duplicate:32
oocihm.33480 SIP:7 , Revision:7 , Unique:0 , Duplicate:7
oocihm.34299 SIP:98 , Revision:98 , Unique:0 , Duplicate:98
oocihm.34460 SIP:43 , Revision:43 , Unique:0 , Duplicate:43
oocihm.34538 SIP:4 , Revision:4 , Unique:0 , Duplicate:4
oocihm.34885 SIP:40 , Revision:40 , Unique:0 , Duplicate:40
oocihm.34905 SIP:111 , Revision:111 , Unique:0 , Duplicate:111
oocihm.34931 SIP:28 , Revision:28 , Unique:0 , Duplicate:28
oocihm.35005 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.35041 SIP:10 , Revision:10 , Unique:0 , Duplicate:10
oocihm.35235 SIP:24 , Revision:28 , Unique:28 , Duplicate:0
oocihm.35243 SIP:202 , Revision:202 , Unique:0 , Duplicate:202
oocihm.35328 SIP:41 , Revision:41 , Unique:0 , Duplicate:41
oocihm.36657 SIP:23 , Revision:23 , Unique:0 , Duplicate:23
oocihm.36848 SIP:563 , Revision:563 , Unique:0 , Duplicate:563
oocihm.36849 SIP:664 , Revision:664 , Unique:0 , Duplicate:664
oocihm.36850 SIP:338 , Revision:338 , Unique:0 , Duplicate:338
oocihm.36851 SIP:691 , Revision:691 , Unique:0 , Duplicate:691
oocihm.36853 SIP:792 , Revision:792 , Unique:0 , Duplicate:792
oocihm.36854 SIP:534 , Revision:534 , Unique:0 , Duplicate:534
oocihm.36907 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.38109 SIP:10 , Revision:10 , Unique:0 , Duplicate:10
oocihm.38177 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.38187 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.38188 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.38209 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.38210 SIP:55 , Revision:55 , Unique:0 , Duplicate:55
oocihm.38392 SIP:387 , Revision:387 , Unique:386 , Duplicate:1
oocihm.38447 SIP:36 , Revision:36 , Unique:0 , Duplicate:36
oocihm.38448 SIP:42 , Revision:42 , Unique:0 , Duplicate:42
oocihm.38507 SIP:86 , Revision:86 , Unique:0 , Duplicate:86
oocihm.38978 SIP:30 , Revision:34 , Unique:34 , Duplicate:0
oocihm.39174 SIP:32 , Revision:32 , Unique:0 , Duplicate:32
oocihm.39386 SIP:47 , Revision:47 , Unique:0 , Duplicate:47
oocihm.39814 SIP:16 , Revision:16 , Unique:0 , Duplicate:16
oocihm.39830 SIP:78 , Revision:78 , Unique:0 , Duplicate:78
oocihm.39981 SIP:83 , Revision:83 , Unique:0 , Duplicate:83
oocihm.39998 SIP:8 , Revision:8 , Unique:0 , Duplicate:8
oocihm.40107 SIP:180 , Revision:180 , Unique:0 , Duplicate:180
oocihm.40109 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.40187 SIP:4 , Revision:4 , Unique:0 , Duplicate:4
oocihm.40236 SIP:10 , Revision:10 , Unique:0 , Duplicate:10
oocihm.40267 SIP:102 , Revision:102 , Unique:0 , Duplicate:102
oocihm.40268 SIP:110 , Revision:110 , Unique:0 , Duplicate:110
oocihm.40353 SIP:27 , Revision:27 , Unique:0 , Duplicate:27
oocihm.40355 SIP:13 , Revision:13 , Unique:0 , Duplicate:13
oocihm.40474 SIP:296 , Revision:296 , Unique:0 , Duplicate:296
oocihm.40523 SIP:640 , Revision:640 , Unique:0 , Duplicate:640
oocihm.40524 SIP:443 , Revision:443 , Unique:0 , Duplicate:443
oocihm.40779 SIP:186 , Revision:186 , Unique:0 , Duplicate:186
oocihm.41027 SIP:5 , Revision:5 , Unique:0 , Duplicate:5
oocihm.41088 SIP:20 , Revision:20 , Unique:0 , Duplicate:20
oocihm.41233 SIP:3 , Revision:3 , Unique:0 , Duplicate:3
oocihm.41329 SIP:6 , Revision:6 , Unique:0 , Duplicate:6
oocihm.41584 SIP:290 , Revision:290 , Unique:0 , Duplicate:290
